,Cluster Labels,Neighborhood,Latitude,Longitude,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
126,29,"East Pilsen, Chicago, IL",41.8576838,-87.6418826,Art Gallery,Mexican Restaurant,Platform,Hot Dog Joint,Seafood Restaurant,Theater,Park,Market,Camera Store,Grocery Store
127,1,"East Side, Chicago, IL",41.70799419999999,-87.535173,Pizza Place,Shipping Store,Bakery,Deli / Bodega,Currency Exchange,Rental Car Location,Italian Restaurant,Zoo Exhibit,Event Space,Fabric Shop
128,29,"East Village, Chicago, IL",41.8998114,-87.67229379999999,Mexican Restaurant,Café,Bakery,Bar,Pizza Place,Coffee Shop,Greek Restaurant,Record Shop,Gym,Optical Shop
129,21,"East Village, San Diego, CA",32.713653,-117.1537894,Hotel,Bar,Mexican Restaurant,Café,Italian Restaurant,American Restaurant,Seafood Restaurant,Lounge,Gastropub,Burger Joint
130,22,"Eastwood, Dallas, TX",32.8336478,-96.6842501,Fried Chicken Joint,Fast Food Restaurant,Pizza Place,Discount Store,Hotel,Pharmacy,Grocery Store,Park,Skate Park,Diner
131,29,"Eastwoods, Austin, TX",30.2903708,-97.72647909999999,Sandwich Place,Mexican Restaurant,Coffee Shop,Café,Performing Arts Venue,Park,Intersection,History Museum,American Restaurant,Pub
132,25,"Eden Green, Chicago, IL",41.6541056,-87.6154657,Harbor / Marina,Residential Building (Apartment / Condo),Zoo Exhibit,Farmers Market,Electronics Store,Empanada Restaurant,Entertainment Service,Ethiopian Restaurant,Event Service,Event Space
133,29,"Edgebrook, Chicago, IL",41.9973418,-87.7621724,Sandwich Place,Hobby Shop,Salon / Barbershop,Train Station,Restaurant,Trail,Coffee Shop,Grocery Store,Park,Playground
134,23,"Edgemont Park, Dallas, TX",32.7397335,-96.61705459999999,Mexican Restaurant,Pizza Place,Pharmacy,Thrift / Vintage Store,Convenience Store,Video Store,Sandwich Place,Discount Store,Grocery Store,Gas Station
135,29,"Edgewater Beach, Chicago, IL",41.9871585,-87.6560928,Bus Station,Gym,Sandwich Place,Sushi Restaurant,Train Station,Mexican Restaurant,Flower Shop,Beach,Indian Restaurant,Pizza Place
136,29,"Edgewater Glen, Chicago, IL",41.9930252,-87.6653544,Mediterranean Restaurant,Asian Restaurant,Mexican Restaurant,Pharmacy,Sandwich Place,Grocery Store,Bar,Theater,Gym / Fitness Center,Diner
137,29,"Edgewater, Chicago, IL",41.9836852,-87.66011410000002,Bus Station,Asian Restaurant,Sushi Restaurant,Flower Shop,Sandwich Place,Bank,Discount Store,Gym,Mexican Restaurant,Chinese Restaurant
138,8,"Edgewood (see South Boulevard/Park Row), Dallas, TX",32.7675694,-96.7731565,Park,Liquor Store,Seafood Restaurant,Pharmacy,Southern / Soul Food Restaurant,Falafel Restaurant,Electronics Store,Empanada Restaurant,Entertainment Service,Ethiopian Restaurant
139,21,"Edison Park, Chicago, IL",42.0054486,-87.81329009999999,Italian Restaurant,Bar,Mexican Restaurant,Pizza Place,American Restaurant,Theater,Liquor Store,Seafood Restaurant,Salon / Barbershop,Track
140,27,"Egger Highlands, San Diego, CA",32.5884561,-117.0970596,Liquor Store,Intersection,Mexican Restaurant,BBQ Joint,Laundromat,Coffee Shop,Seafood Restaurant,Cosmetics Shop,Burger Joint,Fishing Spot
141,14,"El Barrio (Little Mexico), Dallas, TX",32.9091388,-96.8719333,Fast Food Restaurant,Gun Range,Baseball Field,Theater,College Cafeteria,Soccer Field,Farm,Empanada Restaurant,Entertainment Service,Ethiopian Restaurant
142,29,"El Cerrito, San Diego, CA",32.754121,-117.070582,Fast Food Restaurant,Sandwich Place,Pizza Place,Mobile Phone Shop,Grocery Store,BBQ Joint,Chinese Restaurant,Coffee Shop,Thai Restaurant,Video Game Store
143,21,"Elam, Dallas, TX",32.7195315,-96.6662384,Hotel,Coffee Shop,Steakhouse,Cocktail Bar,Plaza,History Museum,American Restaurant,Park,Bar,Deli / Bodega
144,29,"Elderwoods/Elderoaks, Dallas, TX",32.6633442,-96.8550137,Fast Food Restaurant,Convenience Store,Business Service,Italian Restaurant,Burger Joint,Bank,Golf Course,Gastropub,Big Box Store,Taco Place
145,29,"Elm Thicket, Dallas, TX",32.6859604,-96.571252,Mexican Restaurant,Sandwich Place,Pizza Place,Fast Food Restaurant,Burger Joint,Ice Cream Shop,Pharmacy,Taco Place,Movie Theater,Recreation Center
146,21,"Elmwood, Dallas, TX",32.7261179,-96.8480185,Mexican Restaurant,Hotel,Coffee Shop,Gym / Fitness Center,Sandwich Place,American Restaurant,Rental Car Location,Gas Station,BBQ Joint,Liquor Store
147,22,"Emerald Hills, San Diego, CA",32.716163,-117.0764662,Gym / Fitness Center,ATM,Pharmacy,Food Truck,Fast Food Restaurant,Fried Chicken Joint,Cafeteria,Big Box Store,Shoe Store,Electronics Store
148,7,"Encanto, San Diego, CA",32.7117391,-117.0617553,Food,Recreation Center,Food Truck,Caribbean Restaurant,Seafood Restaurant,Liquor Store,Church,Light Rail Station,Hardware Store,Park
149,14,"Englewood, Chicago, IL",41.775305,-87.6416419,Fast Food Restaurant,Nightclub,Train Station,Discount Store,Park,Flea Market,Fishing Spot,Empanada Restaurant,Food,Entertainment Service
150,22,"Exposition Park, Dallas, TX",32.7833373,-96.77073949999999,Fast Food Restaurant,Pizza Place,Mexican Restaurant,Grocery Store,Fried Chicken Joint,BBQ Joint,Mobile Phone Shop,Electronics Store,Sandwich Place,Thrift / Vintage Store
151,22,"Fair Park, Dallas, TX",32.7746982,-96.76214979999999,Convenience Store,Park,Locksmith,Discount Store,Donut Shop,Shopping Mall,Recreation Center,Home Service,Record Shop,Grocery Store
152,7,"Fairmount Park, San Diego, CA",32.7232397,-117.1076578,Convenience Store,Intersection,Mexican Restaurant,Market,Thrift / Vintage Store,Restaurant,New American Restaurant,Pizza Place,Falafel Restaurant,Fabric Shop
153,29,"Far North Dallas, Dallas, TX",32.9620968,-96.78638439999999,Convenience Store,Ethiopian Restaurant,Pizza Place,Sandwich Place,Park,Video Store,Discount Store,Coffee Shop,Golf Course,Bank
154,3,"Fernwood, Chicago, IL",41.7070703,-87.6335706,Convenience Store,Wine Bar,Discount Store,Bus Station,Zoo Exhibit,Fast Food Restaurant,Entertainment Service,Ethiopian Restaurant,Event Service,Event Space
155,20,"Fifth City, Chicago, IL",41.8783073,-87.7111039,American Restaurant,Football Stadium,Food,Intersection,Bus Station,Zoo Exhibit,Farm,Falafel Restaurant,Fabric Shop,Eye Doctor
156,29,"Fireside, Dallas, TX",32.6978816,-96.6699733,Mexican Restaurant,Furniture / Home Store,Restaurant,Park,Pizza Place,New American Restaurant,Sushi Restaurant,French Restaurant,Italian Restaurant,Sandwich Place
157,29,"Ford City, Chicago, IL",41.75866509999999,-87.7311136,Cosmetics Shop,Home Service,Shoe Store,Doctor's Office,Department Store,Accessories Store,Flower Shop,Flea Market,Empanada Restaurant,Entertainment Service
158,29,"Forest Glen, Chicago, IL",41.9961676,-87.76422149999999,Sandwich Place,Hobby Shop,Salon / Barbershop,Train Station,Restaurant,Trail,Coffee Shop,Grocery Store,Park,Playground
159,29,"Forest Highlands, Dallas, TX",32.908725,-96.719432,Mexican Restaurant,Gym / Fitness Center,American Restaurant,Coffee Shop,Bank,Nail Salon,French Restaurant,Sandwich Place,Pizza Place,Convenience Store
160,22,"Forest Hills, Dallas, TX",32.8117942,-96.71461570000001,Fast Food Restaurant,Convenience Store,Discount Store,Chinese Restaurant,Gas Station,Taco Place,Dessert Shop,Bank,Bakery,Sandwich Place
161,13,"Fuller Park, Chicago, IL",41.8090919,-87.6333765,Park,Train Station,Bus Station,Fast Food Restaurant,Department Store,Adult Boutique,Food,Baseball Field,Farm,Falafel Restaurant
162,27,"Gage Park, Chicago, IL",41.7935203,-87.7035777,Mexican Restaurant,Convenience Store,Dessert Shop,Construction & Landscaping,Bakery,Currency Exchange,Sandwich Place,Fabric Shop,Farm,Falafel Restaurant
163,21,"Galewood, Chicago, IL",41.9145056,-87.7925095,Breakfast Spot,Hotel,Liquor Store,Fast Food Restaurant,Empanada Restaurant,Entertainment Service,Ethiopian Restaurant,Event Service,Event Space,Exhibit
164,22,"Garden City, Jacksonville, FL",30.4407937,-81.698988,Zoo Exhibit,Discount Store,Sandwich Place,Pharmacy,Hotel,Convenience Store,Rental Car Location,Donut Shop,Chinese Restaurant,Seafood Restaurant
165,23,"Garfield Ridge, Chicago, IL",41.7927209,-87.76229889999999,Pizza Place,Spa,Supermarket,Café,Salon / Barbershop,Thai Restaurant,Automotive Shop,Sandwich Place,Pharmacy,Gym / Fitness Center
166,21,"Gaslamp Quarter, San Diego, CA",32.7114267,-117.1599305,Bar,Hotel,Steakhouse,Café,American Restaurant,Mexican Restaurant,Lounge,Italian Restaurant,Seafood Restaurant,Breakfast Spot
167,29,"Gaston Park, Dallas, TX",33.0513673,-97.07018049999999,Garden,Park,Pharmacy,Scenic Lookout,Liquor Store,Fried Chicken Joint,Coffee Shop,Botanical Garden,Discount Store,Trail
168,7,"Gateway, San Diego, CA",32.7253305,-117.1084857,Convenience Store,Mexican Restaurant,Intersection,Thrift / Vintage Store,Park,Market,Restaurant,New American Restaurant,Pizza Place,Baseball Field
169,1,"Gladstone Park, Chicago, IL",41.9811108,-87.7750136,Pub,Train Station,Deli / Bodega,Pizza Place,Mexican Restaurant,Spanish Restaurant,Rental Car Location,Bakery,Music Venue,Fish & Chips Shop
170,22,"Glen Oaks, Dallas, TX",32.6795299,-96.83232319999999,Fast Food Restaurant,Fried Chicken Joint,Convenience Store,Vietnamese Restaurant,Sandwich Place,Burger Joint,Pharmacy,Pizza Place,Mobile Phone Shop,Bar
171,29,"Glenn Oaks, Dallas, TX",32.6795299,-96.83232319999999,Mexican Restaurant,Convenience Store,Sandwich Place,Liquor Store,Coffee Shop,Juice Bar,Taco Place,American Restaurant,Gay Bar,Beer Garden
172,21,"Gold Coast, Chicago, IL",41.9066994,-87.6253308,Coffee Shop,Bus Station,Café,Italian Restaurant,Beach,Shipping Store,Cocktail Bar,Bar,Lounge,Science Museum
173,29,"Golden Hill, San Diego, CA",32.7165006,-117.1367698,Mexican Restaurant,Pizza Place,Park,Coffee Shop,Restaurant,Yoga Studio,Grocery Store,Liquor Store,Diner,Convenience Store
174,23,"Graceland West, Chicago, IL",41.955517,-87.66559699999999,Sandwich Place,Pizza Place,Mexican Restaurant,Vegetarian / Vegan Restaurant,Burrito Place,Food Truck,South American Restaurant,Mediterranean Restaurant,Non-Profit,Bike Rental / Bike Share
175,21,"Grand Boulevard, Chicago, IL",41.8130785,-87.6178087,Art Gallery,Smoke Shop,Boutique,Bed & Breakfast,Liquor Store,Burger Joint,Clothing Store,Grocery Store,Shoe Store,Gym
176,14,"Grand Crossing, Chicago, IL",41.7657032,-87.61525069999999,Fast Food Restaurant,Lounge,Currency Exchange,Seafood Restaurant,Convenience Store,Park,Intersection,Spa,Caribbean Restaurant,Exhibit
177,27,"Grant Hill, San Diego, CA",32.7093466,-117.1338285,Mexican Restaurant,Coffee Shop,Discount Store,Grocery Store,Fast Food Restaurant,Restaurant,Hotel,Seafood Restaurant,Taco Place,Historic Site
178,29,"Grantville, San Diego, CA",32.7890733,-117.1000014,Fast Food Restaurant,Sandwich Place,Mexican Restaurant,Convenience Store,Coffee Shop,Brewery,Pharmacy,Vietnamese Restaurant,Sushi Restaurant,Liquor Store
179,14,"Greater Grand Crossing, Chicago, IL",41.7657032,-87.61525069999999,Fast Food Restaurant,Lounge,Currency Exchange,Seafood Restaurant,Convenience Store,Park,Intersection,Spa,Caribbean Restaurant,Exhibit
180,29,"Greektown, Chicago, IL",41.87856439999999,-87.6470504,Greek Restaurant,Coffee Shop,Café,Grocery Store,Convenience Store,Gym / Fitness Center,Breakfast Spot,Pizza Place,Spa,Train Station
181,0,"Greenland Hills, Dallas, TX",32.8266551,-96.7775073,Bar,Gym,Pharmacy,Baseball Field,Clothing Store,Hotel,Construction & Landscaping,Park,Football Stadium,Mexican Restaurant
182,21,"Greenleaf Village, Dallas, TX",32.7872531,-96.86387859999999,Bar,Dive Bar,Mexican Restaurant,Coffee Shop,Burger Joint,Pizza Place,Nightclub,Rock Club,Music Venue,Art Gallery
183,22,"Greenway Parks, Dallas, TX",32.8415243,-96.8178562,Convenience Store,Vietnamese Restaurant,Fast Food Restaurant,Coffee Shop,Grocery Store,Seafood Restaurant,Burger Joint,Bar,Bakery,Lawyer
184,15,"Gresham, Chicago, IL",41.7433773,-87.6561995,Park,Currency Exchange,Basketball Court,Discount Store,Fast Food Restaurant,Entertainment Service,Ethiopian Restaurant,Event Service,Event Space,Exhibit
185,25,"Groveland Park, Chicago, IL",41.8321796,-87.609381,Shipping Store,Sandwich Place,Health & Beauty Service,Skate Park,Lake,Gym / Fitness Center,Bus Station,Beach,Donut Shop,Supermarket
186,8,"Hamilton Park, Chicago, IL",41.7614103,-87.637436,Park,Clothing Store,Sandwich Place,Liquor Store,Flower Shop,Flea Market,Eastern European Restaurant,Electronics Store,Empanada Restaurant,Entertainment Service
187,21,"Hamilton Park, Dallas, TX",32.9171005,-96.7637116,Bar,Dive Bar,Coffee Shop,Nightclub,Rock Club,Mexican Restaurant,Performing Arts Venue,Pizza Place,Music Venue,American Restaurant
188,29,"Hancock, Austin, TX",30.2964691,-97.72321529999999,Bus Stop,Mobile Phone Shop,Grocery Store,Fast Food Restaurant,Park,Mexican Restaurant,Sandwich Place,Cheese Shop,Intersection,Italian Restaurant
189,29,"Hanson Park, Chicago, IL",41.9212796,-87.7609641,Ice Cream Shop,Donut Shop,Sandwich Place,Athletics & Sports,Coffee Shop,Restaurant,Pet Store,Fabric Shop,Electronics Store,Empanada Restaurant
190,21,"Harborview, San Diego, CA",32.7257322,-117.1727964,Italian Restaurant,Coffee Shop,American Restaurant,New American Restaurant,Breakfast Spot,Pizza Place,Wine Bar,Hotel,Sandwich Place,Gastropub
191,27,"Heart of Chicago, Chicago, IL",41.848532,-87.675755,Mexican Restaurant,Grocery Store,Bar,Sandwich Place,Bakery,Food Truck,Basketball Court,Food,Intersection,Gas Station
192,29,"Hegewisch, Chicago, IL",41.6554963,-87.54586239999999,Chinese Restaurant,Park,Mexican Restaurant,Deli / Bodega,Pizza Place,Market,Lounge,Bar,Pet Store,Event Service
193,29,"Heritage, Austin, TX",30.30110269999999,-97.741329,Burger Joint,Clothing Store,Mexican Restaurant,Sandwich Place,Pizza Place,American Restaurant,Shipping Store,Coffee Shop,Ice Cream Shop,Taco Place
194,27,"Hermosa, Chicago, IL",41.9214731,-87.73438589999999,Mexican Restaurant,Park,Historic Site,Seafood Restaurant,BBQ Joint,Latin American Restaurant,Gay Bar,Asian Restaurant,Greek Restaurant,Arcade
195,22,"High Oaks Addition, Dallas, TX",32.8815239,-96.7469579,Convenience Store,Vietnamese Restaurant,Fast Food Restaurant,Pizza Place,Shipping Store,Coffee Shop,Grocery Store,Chinese Restaurant,Bar,Burger Joint
196,27,"Highland Hills, Dallas, TX",32.7563489,-96.5816753,Pizza Place,Mexican Restaurant,Grocery Store,Fast Food Restaurant,Sandwich Place,Video Game Store,Thrift / Vintage Store,Golf Course,Seafood Restaurant,BBQ Joint
197,29,"Highland Meadows, Dallas, TX",32.8706792,-96.69382250000001,Vietnamese Restaurant,Chinese Restaurant,Sandwich Place,Grocery Store,ATM,Soccer Field,Bar,Seafood Restaurant,Bakery,Donut Shop
198,29,"Highlands West, Dallas, TX",32.822604,-96.8170559,Mexican Restaurant,American Restaurant,Fast Food Restaurant,Sandwich Place,Pizza Place,Burger Joint,Taco Place,Bank,Coffee Shop,Bakery
199,29,"Hillcrest (Marston Hills), San Diego, CA",32.7435314,-117.1580924,Zoo Exhibit,Italian Restaurant,Gay Bar,Coffee Shop,Thai Restaurant,Restaurant,Pizza Place,Dessert Shop,Mexican Restaurant,Taco Place
200,21,"Hillridge, Dallas, TX",32.9271078,-96.53723529999999,Mexican Restaurant,French Restaurant,Italian Restaurant,Yoga Studio,Furniture / Home Store,Pizza Place,Spa,Restaurant,Sandwich Place,Sushi Restaurant
201,23,"Hollywood Heights, Dallas, TX",32.8063685,-96.7401249,American Restaurant,Coffee Shop,Insurance Office,Donut Shop,Pizza Place,Zoo Exhibit,Farm,Falafel Restaurant,Fabric Shop,Exhibit
202,13,"Hollywood Park, Chicago, IL",41.9867885,-87.7232855,Park,Gymnastics Gym,Nature Preserve,Bus Station,Department Store,Soccer Field,Zoo Exhibit,Farm,Entertainment Service,Ethiopian Restaurant
203,14,"Homan Square, Chicago, IL",41.8696952,-87.7147986,Fast Food Restaurant,Liquor Store,Hot Dog Joint,Pharmacy,Sports Bar,Lounge,Park,Empanada Restaurant,Entertainment Service,Falafel Restaurant
204,14,"Humboldt Park, Chicago, IL",41.8990752,-87.721293,Fast Food Restaurant,Wings Joint,Recreation Center,Gas Station,Farmers Market,Electronics Store,Empanada Restaurant,Entertainment Service,Ethiopian Restaurant,Event Service
205,29,"Hyde Park, Austin, TX",30.30816969999999,-97.7274412,Bus Stop,Italian Restaurant,Mexican Restaurant,Gym,Pool,Cheese Shop,Salon / Barbershop,Art Gallery,Park,Yoga Studio
206,29,"Hyde Park, Chicago, IL",41.7947665,-87.59167529999999,Sandwich Place,Bike Rental / Bike Share,Café,Bookstore,Park,Coffee Shop,Noodle House,Thai Restaurant,Theater,Bakery
207,23,"Illinois Medical District, Chicago, IL",41.86849429999999,-87.67397489999999,Sandwich Place,Coffee Shop,Chinese Restaurant,College Gym,Salon / Barbershop,Bus Station,Pizza Place,Event Service,Fabric Shop,Ethiopian Restaurant
208,21,"International Center, Dallas, TX",32.7072068,-96.9439115,Mexican Restaurant,American Restaurant,Coffee Shop,Bar,Gift Shop,Gastropub,Southern / Soul Food Restaurant,Chocolate Shop,Dessert Shop,Boutique
209,29,"Irving Park, Chicago, IL",41.9538222,-87.7192875,Hot Dog Joint,Supermarket,Sandwich Place,Liquor Store,Latin American Restaurant,BBQ Joint,Automotive Shop,Coffee Shop,Farmers Market,Park
210,3,"Irving Woods, Chicago, IL",41.9486764,-87.8300628,Convenience Store,Playground,Sports Bar,Grocery Store,Bus Station,Farm,Fabric Shop,Eye Doctor,Exhibit,Zoo Exhibit
211,7,"Islenair, San Diego, CA",32.7405965,-117.0908083,Convenience Store,American Restaurant,Dive Bar,Pizza Place,Garden Center,Taco Place,Zoo Exhibit,Farm,Falafel Restaurant,Fabric Shop
212,29,"Jackowo, Chicago, IL",41.9415011,-87.70250209999999,Bar,Coffee Shop,Food Truck,Mexican Restaurant,Beer Store,Korean Restaurant,Park,Grocery Store,Donut Shop,German Restaurant
213,22,"Jackson Meadow, Dallas, TX",32.9200513,-96.71792049999999,Wings Joint,Convenience Store,BBQ Joint,Flea Market,Italian Restaurant,Discount Store,Fast Food Restaurant,Athletics & Sports,Mexican Restaurant,Big Box Store
214,23,"Jackson Park Highlands, Chicago, IL",41.768781,-87.5778935,Cosmetics Shop,Pizza Place,Pharmacy,Bank,Video Game Store,Sandwich Place,Mobile Phone Shop,Gay Bar,Community Center,Grocery Store
215,25,"Jamacha, San Diego, CA",32.7417198,-116.9114137,Mexican Restaurant,Liquor Store,Donut Shop,Discount Store,Taco Place,Butcher,Sandwich Place,Pet Store,Video Store,Supermarket
216,21,"Jefferson Park, Chicago, IL",41.982504,-87.77039979999999,American Restaurant,Mexican Restaurant,Spanish Restaurant,Bar,Burger Joint,Hot Dog Joint,Deli / Bodega,Pizza Place,Farmers Market,Farm
217,27,"Jubilee Park, Dallas, TX",32.7868166,-96.75968739999999,Pizza Place,Mexican Restaurant,Grocery Store,Gas Station,Electronics Store,Mobile Phone Shop,Video Game Store,Sandwich Place,Thrift / Vintage Store,Bakery
218,21,"Judges' Hill, Austin, TX",30.2820349,-97.7477816,Sandwich Place,Hotel,Coffee Shop,Student Center,Clothing Store,Food Truck,Pet Store,Bubble Tea Shop,Bakery,Taco Place
219,29,"Junius Heights, Dallas, TX",32.8061266,-96.75681379999999,Golf Course,Park,Restaurant,Mexican Restaurant,Taco Place,Convenience Store,Gym,Brewery,Bar,Coffee Shop
220,7,"K-Town, Chicago, IL",41.8749507,-87.73538889999999,Liquor Store,Baseball Field,American Restaurant,Candy Store,Fast Food Restaurant,Entertainment Service,Ethiopian Restaurant,Event Service,Event Space,Exhibit
221,29,"Kearny Mesa, San Diego, CA",32.8283909,-117.1441227,Dessert Shop,Hotel,Korean Restaurant,Sandwich Place,Sushi Restaurant,Bubble Tea Shop,Vietnamese Restaurant,Sporting Goods Shop,Chinese Restaurant,Fast Food Restaurant
222,23,"Kelvyn Park, Chicago, IL",41.9323486,-87.7443371,Chinese Restaurant,Grocery Store,Pizza Place,Mexican Restaurant,Juice Bar,Bank,Automotive Shop,Sandwich Place,Gym / Fitness Center,Donut Shop
223,0,"Kennedy Park, Chicago, IL",41.6882328,-87.68569819999999,Park,Mexican Restaurant,Gym,Gym / Fitness Center,Arts & Crafts Store,Art Museum,Bar,Playground,Flower Shop,Fishing Spot
224,27,"Kensington, Chicago, IL",41.6857079,-87.6123016,Coffee Shop,Brewery,Convenience Store,Food Truck,Diner,Mexican Restaurant,Train Station,Fast Food Restaurant,Falafel Restaurant,Farmers Market
225,29,"Kensington, San Diego, CA",32.7667392,-117.1062971,Pizza Place,Coffee Shop,Café,Pharmacy,Burger Joint,BBQ Joint,Laundromat,Bank,Bar,Liquor Store
226,25,"Kenwood, Chicago, IL",41.8094772,-87.59326639999999,Beach,Bus Station,Park,Train Station,Clothing Store,Donut Shop,Laundromat,Tennis Court,Pharmacy,Gym / Fitness Center
227,14,"Kessler Highlands, Dallas, TX",32.7630414,-96.8464127,Fast Food Restaurant,Recreation Center,Nightclub,Fried Chicken Joint,BBQ Joint,Convenience Store,Park,Entertainment Service,Ethiopian Restaurant,Empanada Restaurant
228,22,"Kessler Park Estates, Dallas, TX",32.7630182,-96.8225599,Fast Food Restaurant,Mexican Restaurant,American Restaurant,Pizza Place,Breakfast Spot,Hotel,Convenience Store,Discount Store,Baseball Field,Gas Station
229,27,"Kessler Plaza, Dallas, TX",32.7523502,-96.85181759999999,Mexican Restaurant,Coffee Shop,Convenience Store,American Restaurant,Gastropub,Sandwich Place,Gift Shop,Italian Restaurant,Bar,Furniture / Home Store
230,27,"Kessler Square, Dallas, TX",32.7556628,-96.84308689999999,Mexican Restaurant,Clothing Store,Fast Food Restaurant,Discount Store,Chinese Restaurant,Fried Chicken Joint,Pizza Place,Bookstore,Supermarket,Taco Place
231,22,"Kidd Springs, Dallas, TX",32.7532645,-96.8341691,Mexican Restaurant,Fast Food Restaurant,Convenience Store,Pizza Place,Discount Store,Pharmacy,Fried Chicken Joint,Grocery Store,Gas Station,Print Shop
232,0,"Kilbourn Park, Chicago, IL",41.9423655,-87.7392883,Grocery Store,Park,Food Truck,Sandwich Place,Massage Studio,Asian Restaurant,Liquor Store,Fabric Shop,Electronics Store,Empanada Restaurant
233,14,"Kings Highway Conservation District, Dallas, TX",32.7762816,-96.79736690000001,Fast Food Restaurant,Sandwich Place,Ice Cream Shop,Taco Place,Discount Store,Donut Shop,Bank,Department Store,Vietnamese Restaurant,Deli / Bodega
234,21,"Kleberg, Dallas, TX",32.6715211,-96.6158262,Gay Bar,Mexican Restaurant,Bar,Nail Salon,Coffee Shop,Seafood Restaurant,Italian Restaurant,Sandwich Place,Breakfast Spot,Diner
235,21,"Knox Park, Dallas, TX",32.8232076,-96.7889414,Hotel,Coffee Shop,Cocktail Bar,Plaza,American Restaurant,Park,Steakhouse,Bar,History Museum,Taco Place
236,29,"Kosciuszko Park, Chicago, IL",41.9309688,-87.7250021,Grocery Store,Diner,Liquor Store,Pet Store,Mexican Restaurant,Clothing Store,Supermarket,Coffee Shop,Bar,Construction & Landscaping
237,22,"L Streets, Dallas, TX",32.8685109,-96.7039169,Convenience Store,BBQ Joint,Discount Store,Department Store,Breakfast Spot,Wings Joint,Fast Food Restaurant,Mexican Restaurant,Athletics & Sports,Big Box Store
238,22,"L.O. Daniel, Dallas, TX",32.7766642,-96.79698789999999,Fast Food Restaurant,Fried Chicken Joint,Convenience Store,Food,Breakfast Spot,Mexican Restaurant,Pharmacy,Discount Store,Pizza Place,Restaurant
239,21,"La Bajada, Dallas, TX",32.7766642,-96.79698789999999,Bar,Art Gallery,Pizza Place,Coffee Shop,Theme Park Ride / Attraction,Football Stadium,Clothing Store,Trail,Seafood Restaurant,Event Space
240,29,"La Jolla Village, San Diego, CA",32.8328112,-117.2712717,Coffee Shop,Mobile Phone Shop,Pizza Place,Grocery Store,Pet Store,Park,Mexican Restaurant,Furniture / Home Store,Baseball Field,Bank
241,29,"La Jolla, San Diego, CA",32.8328112,-117.2712717,Mexican Restaurant,Coffee Shop,Sandwich Place,Pizza Place,Spa,Beach,Thai Restaurant,Seafood Restaurant,Pool,Board Shop
242,9,"La L'aceate, Dallas, TX",34.0522342,-118.2436849,Locksmith,Athletics & Sports,Convenience Store,Light Rail Station,Recreation Center,Fried Chicken Joint,Falafel Restaurant,Fabric Shop,Eye Doctor,Exhibit
243,7,"La Loma, Dallas, TX",32.7455013,-96.889372,Liquor Store,Mexican Restaurant,Convenience Store,Golf Course,Fast Food Restaurant,Fried Chicken Joint,Tram Station,Athletics & Sports,Grocery Store,Discount Store
244,27,"Lake Cliff, Dallas, TX",32.7570791,-96.8176828,Mexican Restaurant,Convenience Store,Supermarket,Coffee Shop,Dessert Shop,Taco Place,Italian Restaurant,Diner,Sandwich Place,Fried Chicken Joint
245,23,"Lake Highlands Estates, Dallas, TX",32.8646024,-96.7045718,Fast Food Restaurant,Pizza Place,Convenience Store,Thai Restaurant,Coffee Shop,Grocery Store,Bank,Burger Joint,Thrift / Vintage Store,Sandwich Place
246,29,"Lake Highlands North, Dallas, TX",32.8874362,-96.71729069999999,French Restaurant,Mexican Restaurant,Sandwich Place,Park,Boutique,Furniture / Home Store,Coffee Shop,Cosmetics Shop,American Restaurant,Women's Store
247,22,"Lake Highlands Square, Dallas, TX",32.8861267,-96.71806939999999,Convenience Store,Rental Car Location,Breakfast Spot,Fast Food Restaurant,Video Store,Mexican Restaurant,American Restaurant,Gas Station,Pet Store,Pharmacy
248,21,"Lake Highlands, Dallas, TX",32.8874362,-96.71729069999999,Hotel,Fast Food Restaurant,Mexican Restaurant,Coffee Shop,Fried Chicken Joint,Burger Joint,Sandwich Place,Nail Salon,Video Store,Taco Place
249,21,"Lake June, Dallas, TX",32.7340594,-96.65944060000001,Coffee Shop,American Restaurant,Steakhouse,Pizza Place,Cocktail Bar,New American Restaurant,Japanese Restaurant,Seafood Restaurant,Burger Joint,Wine Bar
250,14,"Lake Meadows, Chicago, IL",41.835229,-87.6140426,Fast Food Restaurant,Gym / Fitness Center,Plaza,Donut Shop,Sandwich Place,Salon / Barbershop,Tennis Court,Park,Bus Station,Pharmacy
251,29,"Lake Park Estates, Dallas, TX",32.9796716,-96.7637345,Mexican Restaurant,Breakfast Spot,Dive Bar,Discount Store,Grocery Store,Gym / Fitness Center,Restaurant,Ice Cream Shop,Italian Restaurant,Taco Place
252,29,"Lake Ridge Estates, Dallas, TX",30.435444,-96.17258559999999,Convenience Store,Gym / Fitness Center,Liquor Store,Video Store,Baseball Field,Flower Shop,Football Stadium,Doctor's Office,Gym,Park
253,29,"Lake Shore, Jacksonville, FL",30.28063,-81.7267341,Sandwich Place,American Restaurant,Grocery Store,Coffee Shop,Pizza Place,Bakery,Breakfast Spot,Sushi Restaurant,Park,Seafood Restaurant
